date,city,l1_category,l2_category,est_qty_sold
2025-03-11,Ahmedabad,Munchies,Bhujia & Mixtures,44
2025-03-25,Kharar,Munchies,Bhujia & Mixtures,21
2025-03-22,Vijayawada,Munchies,Bhujia & Mixtures,12
2025-03-16,Vellore,Munchies,Papad & Fryums,0
2025-03-19,Amritsar,Munchies,Bhujia & Mixtures,0
2025-03-11,Mangaluru,Munchies,Bhujia & Mixtures,0
2025-03-06,Hyderabad,Munchies,Bhujia & Mixtures,360
2025-03-10,Meerut,Munchies,Bhujia & Mixtures,24
2025-03-18,Thrissur,Munchies,Bhujia & Mixtures,0
2025-03-22,Hyderabad,Munchies,Papad & Fryums,152
2025-03-01,Zirakpur,Munchies,Bhujia & Mixtures,0
2025-03-12,Alwar,Munchies,Bhujia & Mixtures,24
2025-03-04,Nashik,Munchies,Bhujia & Mixtures,0
2025-03-12,Coimbatore,Munchies,Bhujia & Mixtures,8
2025-03-25,Thrissur,Munchies,Bhujia & Mixtures,0
2025-03-01,Dharwad,Munchies,Bhujia & Mixtures,6
2025-03-03,Guntur,Munchies,Papad & Fryums,0
2025-03-01,Lucknow,Munchies,Bhujia & Mixtures,5
2025-03-18,Erode,Munchies,Bhujia & Mixtures,0
2025-03-28,Dharwad,Munchies,Bhujia & Mixtures,0
2025-03-31,Ahmedabad,Munchies,Bhujia & Mixtures,43
2025-03-08,Vellore,Munchies,Papad & Fryums,0
2025-03-24,Barabanki,Munchies,Bhujia & Mixtures,0
2025-03-10,Mysore,Munchies,Papad & Fryums,0
2025-03-07,Kochi,Munchies,Bhujia & Mixtures,40
2025-03-03,Mangaluru,Munchies,Bhujia & Mixtures,1
2025-03-09,Nashik,Munchies,Papad & Fryums,0
2025-03-30,Guntur,Munchies,Papad & Fryums,0
2025-03-31,Agra,Munchies,Bhujia & Mixtures,7
2025-03-07,Yamunanagar,Munchies,Bhujia & Mixtures,0
2025-03-08,Dharwad,Munchies,Bhujia & Mixtures,16
2025-03-20,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-12,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-07,Pune,Munchies,Papad & Fryums,292
2025-03-29,Manipal,Munchies,Bhujia & Mixtures,0
2025-03-21,Tiruchirapalli,Munchies,Bhujia & Mixtures,0
2025-03-10,Rohtak,Munchies,Bhujia & Mixtures,0
2025-04-01,Nashik,Munchies,Bhujia & Mixtures,0
2025-03-04,Mumbai,Munchies,Papad & Fryums,332
2025-03-28,Kundli,Munchies,Bhujia & Mixtures,0
2025-03-19,Alwar,Munchies,Bhujia & Mixtures,0
2025-03-27,Saharanpur,Munchies,Bhujia & Mixtures,0
2025-03-21,Kolkata,Munchies,Bhujia & Mixtures,49
2025-03-31,Mumbai,Munchies,Papad & Fryums,37
2025-03-22,Bengaluru,Munchies,Papad & Fryums,151
2025-03-12,Bhiwadi,Munchies,Bhujia & Mixtures,8
2025-03-26,Kharar,Munchies,Bhujia & Mixtures,0
2025-03-23,Patiala,Munchies,Bhujia & Mixtures,9
2025-03-04,Thrissur,Munchies,Papad & Fryums,0
2025-03-18,Lonavala,Munchies,Bhujia & Mixtures,0
2025-03-26,Coimbatore,Munchies,Papad & Fryums,0
2025-03-05,Nashik,Munchies,Bhujia & Mixtures,0
2025-03-17,Lonavala,Munchies,Bhujia & Mixtures,0
2025-03-26,Karnal,Munchies,Bhujia & Mixtures,18
2025-03-27,Madurai,Munchies,Papad & Fryums,0
2025-03-12,Belgaum,Munchies,Bhujia & Mixtures,0
2025-03-20,Belgaum,Munchies,Bhujia & Mixtures,0
2025-03-03,Bengaluru,Munchies,Bhujia & Mixtures,137
2025-03-07,Bengaluru,Munchies,Papad & Fryums,624
2025-03-28,Kochi,Munchies,Bhujia & Mixtures,21
2025-03-12,Pune,Munchies,Bhujia & Mixtures,138
2025-03-12,Chennai,Munchies,Bhujia & Mixtures,256
2025-04-01,Rewa,Munchies,Bhujia & Mixtures,0
2025-04-01,Kundli,Munchies,Bhujia & Mixtures,6
2025-03-24,Faridabad,Munchies,Bhujia & Mixtures,4
2025-03-30,Nashik,Munchies,Papad & Fryums,0
2025-03-29,Vellore,Munchies,Papad & Fryums,0
2025-03-20,Bahadurgarh,Munchies,Bhujia & Mixtures,0
2025-03-17,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-01,Kochi,Munchies,Bhujia & Mixtures,20
2025-03-31,Tiruchirapalli,Munchies,Papad & Fryums,0
2025-03-23,Faridabad,Munchies,Bhujia & Mixtures,12
2025-03-31,Faridabad,Munchies,Bhujia & Mixtures,21
2025-03-27,Yamunanagar,Munchies,Bhujia & Mixtures,0
2025-03-27,Coimbatore,Munchies,Bhujia & Mixtures,3
2025-03-12,Kozhikode,Munchies,Papad & Fryums,8
2025-03-08,Erode,Munchies,Bhujia & Mixtures,0
2025-04-01,Pune,Munchies,Bhujia & Mixtures,142
2025-03-31,Mohali,Munchies,Bhujia & Mixtures,0
2025-03-05,Muzaffarnagar,Munchies,Bhujia & Mixtures,0
2025-03-26,Visakhapatnam,Munchies,Papad & Fryums,3
2025-03-08,Mathura,Munchies,Bhujia & Mixtures,0
2025-03-23,Navsari,Munchies,Bhujia & Mixtures,3
2025-03-13,Kundli,Munchies,Bhujia & Mixtures,0
2025-03-23,Bhiwadi,Munchies,Bhujia & Mixtures,0
2025-03-01,Jaipur,Munchies,Bhujia & Mixtures,34
2025-03-04,Faridabad,Munchies,Bhujia & Mixtures,220
2025-03-25,Thrissur,Munchies,Papad & Fryums,0
2025-03-24,Lonavala,Munchies,Bhujia & Mixtures,0
2025-03-18,Udupi,Munchies,Bhujia & Mixtures,0
2025-03-09,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-03,Chandigarh,Munchies,Bhujia & Mixtures,0
2025-03-26,Sonipat,Munchies,Bhujia & Mixtures,12
2025-03-09,Vellore,Munchies,Bhujia & Mixtures,0
2025-03-09,Rohtak,Munchies,Bhujia & Mixtures,24
2025-03-12,Amravati,Munchies,Bhujia & Mixtures,0
2025-03-01,Gurgaon,Munchies,Bhujia & Mixtures,108
2025-03-20,Amravati,Munchies,Bhujia & Mixtures,16
2025-03-01,Ahmedabad,Munchies,Bhujia & Mixtures,0
2025-03-10,Guntur,Munchies,Bhujia & Mixtures,0
2025-03-31,Bhiwadi,Munchies,Bhujia & Mixtures,3
2025-03-19,Sonipat,Munchies,Bhujia & Mixtures,12
2025-03-09,Chennai,Munchies,Papad & Fryums,12
2025-03-31,Kozhikode,Munchies,Papad & Fryums,0
2025-03-19,Bahadurgarh,Munchies,Bhujia & Mixtures,0
2025-03-07,Erode,Munchies,Bhujia & Mixtures,0
2025-03-28,Mathura,Munchies,Bhujia & Mixtures,0
2025-03-10,Ludhiana,Munchies,Bhujia & Mixtures,0
2025-03-05,Bahadurgarh,Munchies,Bhujia & Mixtures,12
2025-03-16,Gurgaon,Munchies,Bhujia & Mixtures,236
2025-03-07,Mathura,Munchies,Bhujia & Mixtures,0
2025-03-05,Amravati,Munchies,Bhujia & Mixtures,0
2025-03-29,Ghaziabad,Munchies,Bhujia & Mixtures,105
2025-03-21,Ghaziabad,Munchies,Bhujia & Mixtures,84
2025-03-08,Pune,Munchies,Papad & Fryums,264
2025-04-02,Lonavala,Munchies,Papad & Fryums,0
2025-03-29,Nashik,Munchies,Papad & Fryums,0
2025-03-27,Pune,Munchies,Bhujia & Mixtures,104
2025-03-21,Nashik,Munchies,Papad & Fryums,0
2025-04-01,Hyderabad,Munchies,Bhujia & Mixtures,151
2025-04-01,Yamunanagar,Munchies,Bhujia & Mixtures,0
2025-03-09,Ahmedabad,Munchies,Bhujia & Mixtures,48
2025-03-08,Alwar,Munchies,Bhujia & Mixtures,0
2025-03-19,Amravati,Munchies,Bhujia & Mixtures,0
2025-03-28,Coimbatore,Munchies,Bhujia & Mixtures,9
2025-03-26,Visakhapatnam,Munchies,Bhujia & Mixtures,51
2025-03-07,Ghaziabad,Munchies,Bhujia & Mixtures,205
2025-03-23,Kolkata,Munchies,Bhujia & Mixtures,110
2025-03-21,Jaipur,Munchies,Bhujia & Mixtures,13
2025-03-29,Ahmedabad,Munchies,Bhujia & Mixtures,76
2025-03-13,Mathura,Munchies,Bhujia & Mixtures,6
2025-03-18,Hyderabad,Munchies,Papad & Fryums,89
2025-03-19,Kundli,Munchies,Bhujia & Mixtures,9
2025-03-11,Saharanpur,Munchies,Bhujia & Mixtures,0
2025-03-05,Pune,Munchies,Bhujia & Mixtures,392
2025-03-06,Visakhapatnam,Munchies,Papad & Fryums,0
2025-03-05,Kundli,Munchies,Bhujia & Mixtures,0
2025-03-23,Ahmedabad,Munchies,Bhujia & Mixtures,57
2025-04-01,Kozhikode,Munchies,Papad & Fryums,0
2025-03-10,Gurgaon,Munchies,Bhujia & Mixtures,516
2025-03-11,Amravati,Munchies,Bhujia & Mixtures,0
2025-03-27,Mathura,Munchies,Bhujia & Mixtures,0
2025-03-24,Hyderabad,Munchies,Papad & Fryums,15
2025-03-09,Kolkata,Munchies,Bhujia & Mixtures,227
2025-03-17,Chandigarh,Munchies,Bhujia & Mixtures,14
2025-03-23,Chandigarh,Munchies,Bhujia & Mixtures,18
2025-03-06,Visakhapatnam,Munchies,Bhujia & Mixtures,32
2025-03-12,Visakhapatnam,Munchies,Bhujia & Mixtures,12
2025-03-04,Hyderabad,Munchies,Papad & Fryums,92
2025-03-05,Guntur,Munchies,Papad & Fryums,0
2025-03-08,Panipat,Munchies,Bhujia & Mixtures,16
2025-03-28,Manipal,Munchies,Papad & Fryums,0
2025-03-12,Mysore,Munchies,Bhujia & Mixtures,36
2025-03-12,Dharwad,Munchies,Bhujia & Mixtures,0
2025-03-05,Coimbatore,Munchies,Papad & Fryums,0
2025-03-08,Bhiwadi,Munchies,Bhujia & Mixtures,0
2025-03-16,Bhiwadi,Munchies,Bhujia & Mixtures,0
2025-03-12,Visakhapatnam,Munchies,Papad & Fryums,20
2025-04-02,Saharanpur,Munchies,Bhujia & Mixtures,0
2025-03-31,Aligarh,Munchies,Bhujia & Mixtures,17
2025-03-22,Erode,Munchies,Bhujia & Mixtures,4
2025-03-01,Belgaum,Munchies,Papad & Fryums,0
2025-03-01,Vijayawada,Munchies,Bhujia & Mixtures,20
2025-03-13,Nellore,Munchies,Bhujia & Mixtures,0
2025-03-18,Amritsar,Munchies,Bhujia & Mixtures,4
2025-03-27,Vijayawada,Munchies,Papad & Fryums,18
2025-03-19,Coimbatore,Munchies,Papad & Fryums,0
2025-04-01,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-06,Durgigudi,Munchies,Bhujia & Mixtures,0
2025-03-03,Chennai,Munchies,Bhujia & Mixtures,0
2025-04-01,Ambala,Munchies,Bhujia & Mixtures,0
2025-03-05,Thrissur,Munchies,Bhujia & Mixtures,0
2025-03-12,Rohtak,Munchies,Bhujia & Mixtures,0
2025-03-20,Nashik,Munchies,Bhujia & Mixtures,0
2025-03-30,Mysore,Munchies,Papad & Fryums,0
2025-03-22,Pune,Munchies,Papad & Fryums,68
2025-03-18,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-17,Chennai,Munchies,Bhujia & Mixtures,78
2025-03-29,Agra,Munchies,Bhujia & Mixtures,0
2025-03-19,Thrissur,Munchies,Bhujia & Mixtures,0
2025-04-02,Lonavala,Munchies,Bhujia & Mixtures,0
2025-03-30,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-22,Belgaum,Munchies,Bhujia & Mixtures,0
2025-03-28,Belgaum,Munchies,Bhujia & Mixtures,0
2025-03-11,Coimbatore,Munchies,Papad & Fryums,8
2025-03-13,Thrissur,Munchies,Bhujia & Mixtures,6
2025-03-24,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-27,Nellore,Munchies,Bhujia & Mixtures,0
2025-03-08,Patiala,Munchies,Bhujia & Mixtures,8
2025-03-26,Rohtak,Munchies,Bhujia & Mixtures,0
2025-03-28,Nashik,Munchies,Bhujia & Mixtures,0
2025-03-22,Patiala,Munchies,Bhujia & Mixtures,12
2025-03-29,Bengaluru,Munchies,Papad & Fryums,40
2025-03-04,Kundli,Munchies,Bhujia & Mixtures,0
2025-03-28,Bhiwadi,Munchies,Bhujia & Mixtures,0
2025-03-04,Sonipat,Munchies,Bhujia & Mixtures,16
2025-03-26,Amravati,Munchies,Bhujia & Mixtures,0
2025-03-10,Faridabad,Munchies,Bhujia & Mixtures,232
2025-03-17,Kozhikode,Munchies,Papad & Fryums,0
2025-03-28,Bharuch,Munchies,Bhujia & Mixtures,0
2025-03-12,Zirakpur,Munchies,Bhujia & Mixtures,4
2025-03-21,Nashik,Munchies,Bhujia & Mixtures,0
2025-03-17,Bhiwadi,Munchies,Bhujia & Mixtures,0
2025-03-26,Bathinda,Munchies,Bhujia & Mixtures,6
2025-03-25,Coimbatore,Munchies,Papad & Fryums,0
2025-03-24,Ludhiana,Munchies,Bhujia & Mixtures,18
2025-03-13,Mysore,Munchies,Bhujia & Mixtures,27
2025-03-19,Lonavala,Munchies,Bhujia & Mixtures,0
2025-03-04,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-03,Thrissur,Munchies,Papad & Fryums,0
2025-03-21,Erode,Munchies,Bhujia & Mixtures,0
2025-03-08,Mumbai,Munchies,Bhujia & Mixtures,794
2025-03-31,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-03,Hyderabad,Munchies,Papad & Fryums,12
2025-03-31,Dharwad,Munchies,Papad & Fryums,0
2025-04-02,Yamunanagar,Munchies,Bhujia & Mixtures,0
2025-03-24,Chennai,Munchies,Papad & Fryums,45
2025-03-21,Vijayawada,Munchies,Papad & Fryums,6
2025-03-21,Coimbatore,Munchies,Bhujia & Mixtures,3
2025-03-31,Udupi,Munchies,Bhujia & Mixtures,0
2025-03-26,Pune,Munchies,Bhujia & Mixtures,107
2025-03-25,Aligarh,Munchies,Bhujia & Mixtures,0
2025-03-29,Nashik,Munchies,Bhujia & Mixtures,0
2025-03-18,Faridabad,Munchies,Bhujia & Mixtures,34
2025-03-11,Dharwad,Munchies,Papad & Fryums,0
2025-03-20,Zirakpur,Munchies,Bhujia & Mixtures,4
2025-03-09,Bhiwadi,Munchies,Bhujia & Mixtures,24
2025-03-18,Bathinda,Munchies,Bhujia & Mixtures,0
2025-03-30,Kolkata,Munchies,Bhujia & Mixtures,91
2025-03-28,Alwar,Munchies,Bhujia & Mixtures,0
2025-04-01,Guntur,Munchies,Bhujia & Mixtures,0
2025-03-31,Vellore,Munchies,Bhujia & Mixtures,0
2025-03-25,Tiruchirapalli,Munchies,Papad & Fryums,6
2025-03-13,Vijayawada,Munchies,Papad & Fryums,30
2025-03-18,Chennai,Munchies,Bhujia & Mixtures,144
2025-03-04,Rohtak,Munchies,Bhujia & Mixtures,8
2025-03-30,Ghaziabad,Munchies,Bhujia & Mixtures,57
2025-03-23,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-23,Pune,Munchies,Papad & Fryums,30
2025-04-01,Sonipat,Munchies,Bhujia & Mixtures,18
2025-03-06,Amravati,Munchies,Bhujia & Mixtures,0
2025-03-27,Visakhapatnam,Munchies,Bhujia & Mixtures,0
2025-03-05,Sonipat,Munchies,Bhujia & Mixtures,0
2025-03-25,Karnal,Munchies,Bhujia & Mixtures,12
2025-03-25,Amravati,Munchies,Bhujia & Mixtures,0
2025-03-23,Vellore,Munchies,Bhujia & Mixtures,0
2025-03-06,Bahadurgarh,Munchies,Bhujia & Mixtures,4
2025-03-09,Chandigarh,Munchies,Bhujia & Mixtures,64
2025-03-07,Visakhapatnam,Munchies,Bhujia & Mixtures,28
2025-03-09,Faridabad,Munchies,Bhujia & Mixtures,195
2025-03-13,Coimbatore,Munchies,Bhujia & Mixtures,0
2025-03-27,Kundli,Munchies,Bhujia & Mixtures,9
2025-03-26,Aligarh,Munchies,Bhujia & Mixtures,0
2025-03-29,Bharuch,Munchies,Bhujia & Mixtures,0
2025-03-21,Bharuch,Munchies,Bhujia & Mixtures,0
2025-03-17,Mohali,Munchies,Bhujia & Mixtures,17
2025-03-25,Mohali,Munchies,Bhujia & Mixtures,15
2025-03-03,Amritsar,Munchies,Bhujia & Mixtures,0
2025-03-12,Vijayawada,Munchies,Papad & Fryums,8
2025-03-16,Vijayawada,Munchies,Bhujia & Mixtures,18
2025-03-06,Kochi,Munchies,Bhujia & Mixtures,28
2025-03-01,Phagwara,Munchies,Bhujia & Mixtures,1
2025-03-29,Faridabad,Munchies,Bhujia & Mixtures,98
2025-03-23,Barabanki,Munchies,Bhujia & Mixtures,0
2025-03-01,Erode,Munchies,Bhujia & Mixtures,0
2025-03-22,Mathura,Munchies,Bhujia & Mixtures,0
2025-04-01,Udupi,Munchies,Bhujia & Mixtures,0
2025-03-10,Zirakpur,Munchies,Bhujia & Mixtures,0
2025-03-26,Erode,Munchies,Bhujia & Mixtures,0
2025-03-11,Muzaffarnagar,Munchies,Bhujia & Mixtures,0
2025-03-08,Madurai,Munchies,Bhujia & Mixtures,0
2025-03-26,Bengaluru,Munchies,Papad & Fryums,15
2025-03-19,Mysore,Munchies,Bhujia & Mixtures,15
2025-03-25,Mysore,Munchies,Bhujia & Mixtures,27
2025-04-02,Mysore,Munchies,Bhujia & Mixtures,0
2025-03-06,Kurukshetra,Munchies,Bhujia & Mixtures,0
2025-03-17,Mathura,Munchies,Bhujia & Mixtures,0
2025-03-27,Agra,Munchies,Bhujia & Mixtures,0
2025-03-24,Zirakpur,Munchies,Bhujia & Mixtures,0
2025-04-02,Lucknow,Munchies,Bhujia & Mixtures,0
2025-04-01,Saharanpur,Munchies,Bhujia & Mixtures,0
2025-03-17,Bengaluru,Munchies,Bhujia & Mixtures,428
2025-03-23,Mohali,Munchies,Bhujia & Mixtures,12
2025-03-31,Ambala,Munchies,Bhujia & Mixtures,0
2025-03-01,Mohali,Munchies,Bhujia & Mixtures,0
2025-03-25,Jalandhar,Munchies,Bhujia & Mixtures,3
2025-03-31,Jalandhar,Munchies,Bhujia & Mixtures,13
2025-03-06,Lonavala,Munchies,Bhujia & Mixtures,0
2025-03-26,Bharuch,Munchies,Bhujia & Mixtures,0
2025-03-07,Patiala,Munchies,Bhujia & Mixtures,8
2025-03-20,Erode,Munchies,Bhujia & Mixtures,0
2025-03-12,Pune,Munchies,Papad & Fryums,24
2025-03-31,Bengaluru,Munchies,Bhujia & Mixtures,287
2025-03-29,Guntur,Munchies,Bhujia & Mixtures,0
2025-03-25,Lucknow,Munchies,Bhujia & Mixtures,27
2025-03-19,Lucknow,Munchies,Bhujia & Mixtures,0
2025-03-18,Bahadurgarh,Munchies,Bhujia & Mixtures,0
2025-03-30,Ludhiana,Munchies,Bhujia & Mixtures,9
2025-04-01,Pune,Munchies,Papad & Fryums,15
2025-04-01,Surat,Munchies,Bhujia & Mixtures,0
2025-03-11,Dera Bassi,Munchies,Bhujia & Mixtures,0
2025-03-09,Barabanki,Munchies,Bhujia & Mixtures,0
2025-03-26,Pune,Munchies,Papad & Fryums,18
2025-03-30,Coimbatore,Munchies,Papad & Fryums,0
2025-03-17,Jalandhar,Munchies,Bhujia & Mixtures,0
2025-03-19,Mysore,Munchies,Papad & Fryums,0
2025-03-13,Meerut,Munchies,Bhujia & Mixtures,0
2025-03-16,Mumbai,Munchies,Bhujia & Mixtures,333
2025-03-05,Meerut,Munchies,Bhujia & Mixtures,8
2025-03-25,Visakhapatnam,Munchies,Bhujia & Mixtures,12
2025-03-31,Yamunanagar,Munchies,Bhujia & Mixtures,3
2025-03-08,Ludhiana,Munchies,Bhujia & Mixtures,4
2025-03-04,Bahadurgarh,Munchies,Bhujia & Mixtures,0
2025-03-05,Tiruchirapalli,Munchies,Papad & Fryums,0
2025-03-31,Madurai,Munchies,Papad & Fryums,0
2025-03-16,Udupi,Munchies,Bhujia & Mixtures,0
2025-03-25,Dera Bassi,Munchies,Bhujia & Mixtures,0
2025-03-28,Nashik,Munchies,Papad & Fryums,0
2025-03-27,Guntur,Munchies,Papad & Fryums,3
2025-03-09,Amritsar,Munchies,Bhujia & Mixtures,4
2025-03-18,Dharwad,Munchies,Bhujia & Mixtures,0
2025-03-31,Hyderabad,Munchies,Bhujia & Mixtures,152
2025-03-04,Vijayawada,Munchies,Bhujia & Mixtures,24
2025-03-18,Amravati,Munchies,Bhujia & Mixtures,0
2025-03-31,Muzaffarnagar,Munchies,Bhujia & Mixtures,0
2025-03-28,Belgaum,Munchies,Papad & Fryums,0
2025-03-09,Thrissur,Munchies,Bhujia & Mixtures,8
2025-04-02,Mysore,Munchies,Papad & Fryums,0
2025-03-17,Pune,Munchies,Bhujia & Mixtures,89
2025-03-24,Amravati,Munchies,Bhujia & Mixtures,6
2025-03-29,Amritsar,Munchies,Bhujia & Mixtures,8
2025-03-29,Mohali,Munchies,Bhujia & Mixtures,36
2025-03-05,Hyderabad,Munchies,Papad & Fryums,96
2025-03-11,Visakhapatnam,Munchies,Bhujia & Mixtures,32
2025-03-17,Muzaffarnagar,Munchies,Bhujia & Mixtures,0
2025-03-13,Guntur,Munchies,Papad & Fryums,0
2025-03-19,Meerut,Munchies,Bhujia & Mixtures,0
2025-03-03,Bahadurgarh,Munchies,Bhujia & Mixtures,0
2025-03-12,Aligarh,Munchies,Bhujia & Mixtures,8
2025-03-27,Meerut,Munchies,Bhujia & Mixtures,3
2025-03-22,Udupi,Munchies,Bhujia & Mixtures,0
2025-03-09,Mohali,Munchies,Bhujia & Mixtures,8
2025-03-26,Kochi,Munchies,Bhujia & Mixtures,9
2025-03-30,Mumbai,Munchies,Bhujia & Mixtures,144
2025-03-01,Kharar,Munchies,Bhujia & Mixtures,0
2025-03-11,Pune,Munchies,Bhujia & Mixtures,124
2025-03-16,Nashik,Munchies,Bhujia & Mixtures,0
2025-03-04,Bathinda,Munchies,Bhujia & Mixtures,0
2025-03-19,Dharwad,Munchies,Papad & Fryums,0
2025-04-02,Dera Bassi,Munchies,Bhujia & Mixtures,0
2025-03-04,Amravati,Munchies,Bhujia & Mixtures,0
2025-03-10,Amravati,Munchies,Bhujia & Mixtures,0
2025-03-07,Guntur,Munchies,Papad & Fryums,0
2025-04-02,Nashik,Munchies,Papad & Fryums,0
2025-03-11,Hyderabad,Munchies,Bhujia & Mixtures,321
